month/date/year time,PM10
11/25/20 1:00,411.73
11/25/20 2:00,486.21
11/25/20 3:00,541.95
11/25/20 4:00,534
11/25/20 5:00,529.19
11/25/20 6:00,511.79
11/25/20 7:00,349.2
11/25/20 8:00,303.47
11/25/20 9:00,289.86
11/25/20 10:00,302.27
11/25/20 11:00,324.34
11/25/20 12:00,336
11/25/20 13:00,354.19
11/25/20 14:00,402.37
11/25/20 15:00,456.38
11/25/20 16:00,490.96
11/25/20 17:00,498.87
11/25/20 18:00,461.24
11/25/20 19:00,400.17
11/25/20 20:00,365.32
11/25/20 21:00,340.62
11/25/20 22:00,320.68
11/25/20 23:00,305.06
11/26/20 0:00,296.45
11/26/20 1:00,305.4
11/26/20 2:00,359.04
11/26/20 3:00,398.42
11/26/20 4:00,353.24
11/26/20 5:00,315.31
11/26/20 6:00,253.85
11/26/20 7:00,139.51
11/26/20 8:00,111.59
11/26/20 9:00,107.12
11/26/20 10:00,132.1
11/26/20 11:00,175.22
11/26/20 12:00,203.84
11/26/20 13:00,227.04
11/26/20 14:00,276.96
11/26/20 15:00,325.87
11/26/20 16:00,343.52
11/26/20 17:00,319.4
11/26/20 18:00,238.31
11/26/20 19:00,149.46
11/26/20 20:00,113.31
11/26/20 21:00,100.6
11/26/20 22:00,92.05
11/26/20 23:00,86.42
11/27/20 0:00,84.01
11/27/20 1:00,93.52
11/27/20 2:00,117.18
11/27/20 3:00,128.85
11/27/20 4:00,132.24
11/27/20 5:00,134.15
11/27/20 6:00,124.64
11/27/20 7:00,82.8
11/27/20 8:00,75.19
11/27/20 9:00,81.87
11/27/20 10:00,105.35
11/27/20 11:00,134.28
11/27/20 12:00,151.31
11/27/20 13:00,173.83
11/27/20 14:00,198.73
11/27/20 15:00,209.55
11/27/20 16:00,215.26
11/27/20 17:00,227.25
11/27/20 18:00,219.02
11/27/20 19:00,183.04
11/27/20 20:00,156.48
11/27/20 21:00,144.97
11/27/20 22:00,140.4
11/27/20 23:00,140.94
11/28/20 0:00,151.52
11/28/20 1:00,176.16
11/28/20 2:00,211.46
11/28/20 3:00,228.15
11/28/20 4:00,222.35
11/28/20 5:00,215.43
11/28/20 6:00,199.38
11/28/20 7:00,124.43
11/28/20 8:00,103.92
11/28/20 9:00,108.01
11/28/20 10:00,166.19
11/28/20 11:00,250.82
11/28/20 12:00,312.63
11/28/20 13:00,382.34
11/28/20 14:00,440
11/28/20 15:00,424.77
11/28/20 16:00,347.44
11/28/20 17:00,335.43
11/28/20 18:00,299.94
11/28/20 19:00,238.09
11/28/20 20:00,199.13
11/28/20 21:00,179.28
11/28/20 22:00,164.55
11/28/20 23:00,155.25
11/29/20 0:00,150.71
11/29/20 1:00,164.06
11/29/20 2:00,205.53
11/29/20 3:00,244.44
11/29/20 4:00,276.06
11/29/20 5:00,311.02
11/29/20 6:00,329.15
11/29/20 7:00,174.87
11/29/20 8:00,152.32
11/29/20 9:00,150.27
11/29/20 10:00,226.89
11/29/20 11:00,343.04
11/29/20 12:00,425.52
11/29/20 13:00,513.61
11/29/20 14:00,610.78
11/29/20 15:00,672.15
11/29/20 16:00,709.59
11/29/20 17:00,747.75
11/29/20 18:00,733.62
11/29/20 19:00,641.21
11/29/20 20:00,562.84
11/29/20 21:00,502.51
11/29/20 22:00,449.55
11/29/20 23:00,399.7
